Category,Puzzle,Time,Backtracks,Status
Easy,easy_1.txt,0.0826,0,UNSAT
Easy,easy_10.txt,0.0842,0,UNSAT
Easy,easy_2.txt,0.0797,0,UNSAT
Easy,easy_3.txt,0.0768,0,UNSAT
Easy,easy_4.txt,0.0753,0,UNSAT
Easy,easy_5.txt,0.0730,0,UNSAT
Easy,easy_6.txt,0.0770,0,UNSAT
Easy,easy_7.txt,0.0664,0,UNSAT
Easy,easy_8.txt,0.0830,0,UNSAT
Easy,easy_9.txt,0.0735,0,UNSAT
Evil,evil_1.txt,0.0723,0,UNSAT
Evil,evil_10.txt,0.0704,0,UNSAT
Evil,evil_2.txt,0.0812,0,UNSAT
Evil,evil_3.txt,0.0689,0,UNSAT
Evil,evil_4.txt,0.0936,0,UNSAT
Evil,evil_5.txt,0.0836,0,UNSAT
Evil,evil_6.txt,0.0970,0,UNSAT
Evil,evil_7.txt,0.1018,0,UNSAT
Evil,evil_8.txt,0.0993,0,UNSAT
Evil,evil_9.txt,0.0872,0,UNSAT
Hard,hard_1.txt,0.0849,0,UNSAT
Hard,hard_10.txt,0.0873,0,UNSAT
Hard,hard_2.txt,0.0858,0,UNSAT
Hard,hard_3.txt,0.0839,0,UNSAT
Hard,hard_4.txt,0.0814,0,UNSAT
Hard,hard_5.txt,0.0820,0,UNSAT
Hard,hard_6.txt,0.0838,0,UNSAT
Hard,hard_7.txt,0.0783,0,UNSAT
Hard,hard_8.txt,0.0803,0,UNSAT
Hard,hard_9.txt,0.0769,0,UNSAT
Medium,medium_1.txt,0.0928,0,UNSAT
Medium,medium_10.txt,0.0830,0,UNSAT
Medium,medium_2.txt,0.0815,0,UNSAT
Medium,medium_3.txt,0.0832,0,UNSAT
Medium,medium_4.txt,0.0811,0,UNSAT
Medium,medium_5.txt,0.0846,0,UNSAT
Medium,medium_6.txt,0.0871,0,UNSAT
Medium,medium_7.txt,0.0880,0,UNSAT
Medium,medium_8.txt,0.0887,0,UNSAT
Medium,medium_9.txt,0.0799,0,UNSAT
