Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,39.3285,SAT,14836
all_9x9.txt,2,23,524,6.1674,SAT,1779
all_9x9.txt,3,22,524,3.8378,SAT,711
all_9x9.txt,4,23,501,18.2622,SAT,3326
all_9x9.txt,5,23,563,4.6595,SAT,144
all_9x9.txt,6,23,508,14.2410,SAT,1791
all_9x9.txt,7,24,525,8.5142,SAT,597
all_9x9.txt,8,23,524,14.1631,SAT,2252
all_9x9.txt,9,24,549,5.0644,SAT,249
all_9x9.txt,10,24,513,6.7850,SAT,522
all_9x9.txt,11,23,497,2.7450,SAT,9
all_9x9.txt,12,22,521,4.3688,SAT,642
all_9x9.txt,13,25,528,2.5382,SAT,70
all_9x9.txt,14,24,524,4.0424,SAT,809
all_9x9.txt,15,25,518,18.6890,SAT,3885
all_9x9.txt,16,24,508,7.0864,SAT,395
all_9x9.txt,17,22,502,38.2345,SAT,7818
all_9x9.txt,18,25,506,21.7285,SAT,4041
all_9x9.txt,19,25,524,10.5031,SAT,1017
all_9x9.txt,20,24,527,4.5550,SAT,168
all_9x9.txt,21,22,482,34.7935,SAT,6017
all_9x9.txt,22,25,518,5.9735,SAT,454
all_9x9.txt,23,24,532,9.3068,SAT,878
all_9x9.txt,24,25,555,5.4676,SAT,159
all_9x9.txt,25,23,535,6.1834,SAT,363
all_9x9.txt,26,23,523,5.9726,SAT,415
all_9x9.txt,27,22,508,10.1127,SAT,1041
all_9x9.txt,28,25,530,13.0315,SAT,1693
all_9x9.txt,29,24,549,11.1132,SAT,1818
all_9x9.txt,30,26,544,5.7718,SAT,317
all_9x9.txt,31,23,514,18.7821,SAT,3550
all_9x9.txt,32,23,514,20.0197,SAT,3218
all_9x9.txt,33,26,527,13.3610,SAT,1838
all_9x9.txt,34,22,493,102.0406,SAT,20272
all_9x9.txt,35,23,512,5.2608,SAT,291
all_9x9.txt,36,25,514,20.3837,SAT,3691
all_9x9.txt,37,22,495,18.5782,SAT,2541
all_9x9.txt,38,23,508,12.3289,SAT,1670
all_9x9.txt,39,24,504,12.6260,SAT,1643
all_9x9.txt,40,24,528,9.8959,SAT,1312
all_9x9.txt,41,24,527,4.2645,SAT,17
