Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,21.8297,SAT,14836
all_9x9.txt,2,23,524,3.3294,SAT,1779
all_9x9.txt,3,22,524,2.2186,SAT,711
all_9x9.txt,4,23,501,6.3347,SAT,3326
all_9x9.txt,5,23,563,1.3129,SAT,144
all_9x9.txt,6,23,508,3.6274,SAT,1791
all_9x9.txt,7,24,525,2.1199,SAT,597
all_9x9.txt,8,23,524,4.1296,SAT,2252
all_9x9.txt,9,24,549,1.5149,SAT,249
all_9x9.txt,10,24,513,2.0196,SAT,522
all_9x9.txt,11,23,497,1.2131,SAT,9
all_9x9.txt,12,22,521,2.3178,SAT,642
all_9x9.txt,13,25,528,1.4133,SAT,70
all_9x9.txt,14,24,524,2.5189,SAT,809
all_9x9.txt,15,25,518,6.2420,SAT,3885
all_9x9.txt,16,24,508,2.1180,SAT,395
all_9x9.txt,17,22,502,12.9719,SAT,7818
all_9x9.txt,18,25,506,8.5307,SAT,4041
all_9x9.txt,19,25,524,3.7643,SAT,1017
all_9x9.txt,20,24,527,1.7208,SAT,168
all_9x9.txt,21,22,482,12.4507,SAT,6017
all_9x9.txt,22,25,518,2.4328,SAT,454
all_9x9.txt,23,24,532,3.0375,SAT,878
all_9x9.txt,24,25,555,1.4145,SAT,159
all_9x9.txt,25,23,535,1.7160,SAT,363
all_9x9.txt,26,23,523,1.7160,SAT,415
all_9x9.txt,27,22,508,2.8293,SAT,1041
all_9x9.txt,28,25,530,3.6318,SAT,1693
all_9x9.txt,29,24,549,3.2241,SAT,1818
all_9x9.txt,30,26,544,1.6171,SAT,317
all_9x9.txt,31,23,514,5.2307,SAT,3550
all_9x9.txt,32,23,514,5.3334,SAT,3218
all_9x9.txt,33,26,527,3.5291,SAT,1838
all_9x9.txt,34,22,493,29.5644,SAT,20272
all_9x9.txt,35,23,512,1.6145,SAT,291
all_9x9.txt,36,25,514,6.1475,SAT,3691
all_9x9.txt,37,22,495,5.8429,SAT,2541
all_9x9.txt,38,23,508,3.5293,SAT,1670
all_9x9.txt,39,24,504,4.4312,SAT,1643
all_9x9.txt,40,24,528,3.0219,SAT,1312
all_9x9.txt,41,24,527,1.3137,SAT,17
all_9x9.txt,42,24,522,1.7160,SAT,347
all_9x9.txt,43,23,520,2.0195,SAT,354
all_9x9.txt,44,24,515,5.3335,SAT,2656
all_9x9.txt,45,23,532,3.7239,SAT,1631
all_9x9.txt,46,22,538,1.4157,SAT,111
all_9x9.txt,47,24,516,3.6248,SAT,1599
all_9x9.txt,48,24,526,4.1476,SAT,1967
all_9x9.txt,49,22,513,3.2204,SAT,1344
all_9x9.txt,50,23,532,3.0236,SAT,1054
all_9x9.txt,51,23,520,9.8608,SAT,4414
