Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,35.9165,SAT,5556
all_9x9.txt,2,23,524,10.4172,SAT,1074
all_9x9.txt,3,22,524,6.1683,SAT,287
all_9x9.txt,4,23,501,15.2399,SAT,1728
all_9x9.txt,5,23,563,4.3489,SAT,84
all_9x9.txt,6,23,508,9.5003,SAT,865
all_9x9.txt,7,24,525,6.6732,SAT,320
all_9x9.txt,8,23,524,10.3233,SAT,1059
all_9x9.txt,9,24,549,4.8667,SAT,113
all_9x9.txt,10,24,513,5.5672,SAT,238
all_9x9.txt,11,23,497,4.0594,SAT,8
all_9x9.txt,12,22,521,6.9772,SAT,421
all_9x9.txt,13,25,528,4.9614,SAT,65
all_9x9.txt,14,24,524,7.2808,SAT,509
all_9x9.txt,15,25,518,12.9393,SAT,1821
all_9x9.txt,16,24,508,4.0499,SAT,374
all_9x9.txt,17,22,502,26.9458,SAT,3685
all_9x9.txt,18,25,506,19.4104,SAT,2192
all_9x9.txt,19,25,524,8.8474,SAT,423
all_9x9.txt,20,24,527,4.3586,SAT,95
all_9x9.txt,21,22,482,9.4151,SAT,814
all_9x9.txt,22,25,518,9.5112,SAT,835
all_9x9.txt,23,24,532,6.6771,SAT,454
all_9x9.txt,24,25,555,4.5599,SAT,83
all_9x9.txt,25,23,535,5.5751,SAT,233
all_9x9.txt,26,23,523,7.5943,SAT,610
all_9x9.txt,27,22,508,7.4903,SAT,496
all_9x9.txt,28,25,530,9.0099,SAT,723
all_9x9.txt,29,24,549,8.2836,SAT,823
all_9x9.txt,30,26,544,5.2606,SAT,178
all_9x9.txt,31,23,514,11.5088,SAT,1373
all_9x9.txt,32,23,514,14.5277,SAT,1905
all_9x9.txt,33,26,527,10.0382,SAT,933
all_9x9.txt,34,22,493,65.8759,SAT,10120
all_9x9.txt,35,23,512,5.4734,SAT,193
all_9x9.txt,36,25,514,15.4567,SAT,1660
all_9x9.txt,37,22,495,16.2998,SAT,1360
all_9x9.txt,38,23,508,13.5611,SAT,1378
all_9x9.txt,39,24,504,8.2906,SAT,615
all_9x9.txt,40,24,528,11.4183,SAT,1126
all_9x9.txt,41,24,527,4.5717,SAT,19
all_9x9.txt,42,24,522,7.1881,SAT,405
all_9x9.txt,43,23,520,5.1644,SAT,123
all_9x9.txt,44,24,515,12.7269,SAT,1249
all_9x9.txt,45,23,532,7.8880,SAT,712
all_9x9.txt,46,22,538,4.4598,SAT,49
