Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,10.8617,SAT,5556
all_9x9.txt,2,23,524,3.1206,SAT,1074
all_9x9.txt,3,22,524,2.1193,SAT,287
all_9x9.txt,4,23,501,4.4249,SAT,1728
all_9x9.txt,5,23,563,1.3132,SAT,84
all_9x9.txt,6,23,508,2.8208,SAT,865
all_9x9.txt,7,24,525,1.9140,SAT,320
all_9x9.txt,8,23,524,3.2207,SAT,1059
all_9x9.txt,9,24,549,1.5132,SAT,113
all_9x9.txt,10,24,513,1.7153,SAT,238
all_9x9.txt,11,23,497,1.3126,SAT,8
all_9x9.txt,12,22,521,2.3201,SAT,421
all_9x9.txt,13,25,528,1.4151,SAT,65
all_9x9.txt,14,24,524,2.2180,SAT,509
all_9x9.txt,15,25,518,4.6279,SAT,1821
all_9x9.txt,16,24,508,2.0183,SAT,374
all_9x9.txt,17,22,502,8.1479,SAT,3685
all_9x9.txt,18,25,506,5.2317,SAT,2192
all_9x9.txt,19,25,524,2.2181,SAT,423
all_9x9.txt,20,24,527,1.4134,SAT,95
all_9x9.txt,21,22,482,2.7218,SAT,814
all_9x9.txt,22,25,518,3.0234,SAT,835
all_9x9.txt,23,24,532,2.3187,SAT,454
all_9x9.txt,24,25,555,1.5177,SAT,83
all_9x9.txt,25,23,535,1.8175,SAT,233
all_9x9.txt,26,23,523,2.4165,SAT,610
all_9x9.txt,27,22,508,2.3194,SAT,496
all_9x9.txt,28,25,530,2.6191,SAT,723
all_9x9.txt,29,24,549,2.6194,SAT,823
all_9x9.txt,30,26,544,1.7190,SAT,178
all_9x9.txt,31,23,514,3.7267,SAT,1373
all_9x9.txt,32,23,514,4.5312,SAT,1905
all_9x9.txt,33,26,527,3.3255,SAT,933
all_9x9.txt,34,22,493,18.6907,SAT,10120
all_9x9.txt,35,23,512,1.6144,SAT,193
all_9x9.txt,36,25,514,4.1284,SAT,1660
all_9x9.txt,37,22,495,4.6286,SAT,1360
all_9x9.txt,38,23,508,3.8272,SAT,1378
all_9x9.txt,39,24,504,2.4202,SAT,615
all_9x9.txt,40,24,528,3.2237,SAT,1126
all_9x9.txt,41,24,527,1.3129,SAT,19
all_9x9.txt,42,24,522,2.0183,SAT,405
all_9x9.txt,43,23,520,1.5139,SAT,123
all_9x9.txt,44,24,515,3.6247,SAT,1249
all_9x9.txt,45,23,532,2.4174,SAT,712
all_9x9.txt,46,22,538,1.3137,SAT,49
all_9x9.txt,47,24,516,2.5211,SAT,721
all_9x9.txt,48,24,526,2.5192,SAT,845
all_9x9.txt,49,22,513,3.2245,SAT,1236
all_9x9.txt,50,23,532,2.1171,SAT,639
all_9x9.txt,51,23,520,5.3355,SAT,2334
all_9x9.txt,52,24,526,1.8163,SAT,398
all_9x9.txt,53,24,545,2.8186,SAT,1124
all_9x9.txt,54,22,515,1.5138,SAT,115
all_9x9.txt,55,21,512,2.3198,SAT,563
all_9x9.txt,56,22,530,1.9175,SAT,491
all_9x9.txt,57,23,508,2.0225,SAT,433
all_9x9.txt,58,22,517,4.8345,SAT,2220
all_9x9.txt,59,26,537,2.3185,SAT,756
all_9x9.txt,60,17,542,1.5158,SAT,264
all_9x9.txt,61,23,507,3.0265,SAT,834
all_9x9.txt,62,23,506,1.7161,SAT,327
all_9x9.txt,63,23,507,3.4242,SAT,1020
all_9x9.txt,64,22,513,4.0320,SAT,1339
all_9x9.txt,65,24,519,2.7240,SAT,689
all_9x9.txt,66,23,535,2.5187,SAT,819
all_9x9.txt,67,23,539,1.5151,SAT,82
all_9x9.txt,68,23,534,1.3143,SAT,47
all_9x9.txt,69,24,517,2.3178,SAT,536
all_9x9.txt,70,21,515,3.3261,SAT,1163
all_9x9.txt,71,23,522,2.0157,SAT,361
all_9x9.txt,72,23,530,1.8164,SAT,306
all_9x9.txt,73,24,541,1.4131,SAT,116
all_9x9.txt,74,23,513,3.4231,SAT,1077
all_9x9.txt,75,26,568,1.3131,SAT,62
all_9x9.txt,76,26,540,1.5146,SAT,214
all_9x9.txt,77,22,500,8.5480,SAT,3920
all_9x9.txt,78,23,522,2.3182,SAT,646
all_9x9.txt,79,17,490,12.0609,SAT,7559
all_9x9.txt,80,24,539,2.0167,SAT,335
all_9x9.txt,81,23,504,1.7139,SAT,202
all_9x9.txt,82,23,522,1.9153,SAT,545
all_9x9.txt,83,25,569,1.5135,SAT,83
all_9x9.txt,84,25,538,1.2125,SAT,14
all_9x9.txt,85,24,558,1.5161,SAT,98
all_9x9.txt,86,24,526,1.2143,SAT,6
all_9x9.txt,87,22,523,2.8225,SAT,890
all_9x9.txt,88,24,523,3.4258,SAT,1261
all_9x9.txt,89,23,540,4.9328,SAT,2066
all_9x9.txt,90,24,583,1.6165,SAT,139
all_9x9.txt,91,25,537,2.3203,SAT,473
all_9x9.txt,92,24,539,1.2135,SAT,8
