Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,3.1776,SAT,10
all_9x9.txt,2,23,524,2.1235,SAT,38
all_9x9.txt,3,22,524,2.4333,SAT,52
all_9x9.txt,4,23,501,2.0315,SAT,38
all_9x9.txt,5,23,563,1.9284,SAT,0
all_9x9.txt,6,23,508,2.4352,SAT,22
all_9x9.txt,7,24,525,2.5331,SAT,9
all_9x9.txt,8,23,524,2.3328,SAT,33
all_9x9.txt,9,24,549,1.9255,SAT,3
all_9x9.txt,10,24,513,2.4288,SAT,129
all_9x9.txt,11,23,497,2.5457,SAT,22
all_9x9.txt,12,22,521,2.6313,SAT,198
all_9x9.txt,13,25,528,2.2294,SAT,0
all_9x9.txt,14,24,524,2.1293,SAT,7
all_9x9.txt,15,25,518,2.7331,SAT,190
all_9x9.txt,16,24,508,2.3370,SAT,6
all_9x9.txt,17,22,502,5.2735,SAT,71
all_9x9.txt,18,25,506,4.6617,SAT,65
all_9x9.txt,19,25,524,5.0576,SAT,116
all_9x9.txt,20,24,527,4.0523,SAT,0
all_9x9.txt,21,22,482,4.5638,SAT,3
all_9x9.txt,22,25,518,4.1815,SAT,1
all_9x9.txt,23,24,532,2.9539,SAT,67
all_9x9.txt,24,25,555,2.8505,SAT,19
all_9x9.txt,25,23,535,3.3480,SAT,115
all_9x9.txt,26,23,523,3.9729,SAT,162
all_9x9.txt,27,22,508,2.6393,SAT,23
all_9x9.txt,28,25,530,4.7678,SAT,38
all_9x9.txt,29,24,549,4.6962,SAT,4
all_9x9.txt,30,26,544,4.7944,SAT,1
all_9x9.txt,31,23,514,5.0996,SAT,10
all_9x9.txt,32,23,514,4.7904,SAT,25
all_9x9.txt,33,26,527,4.8906,SAT,13
all_9x9.txt,34,22,493,5.1053,SAT,4
all_9x9.txt,35,23,512,5.9100,SAT,59
all_9x9.txt,36,25,514,6.3008,SAT,99
all_9x9.txt,37,22,495,4.3545,SAT,33
all_9x9.txt,38,23,508,4.8593,SAT,71
all_9x9.txt,39,24,504,5.4600,SAT,134
all_9x9.txt,40,24,528,5.1616,SAT,118
all_9x9.txt,41,24,527,4.8720,SAT,26
all_9x9.txt,42,24,522,4.1536,SAT,2
all_9x9.txt,43,23,520,4.2607,SAT,28
all_9x9.txt,44,24,515,5.0630,SAT,105
all_9x9.txt,45,23,532,2.2328,SAT,19
all_9x9.txt,46,22,538,2.0291,SAT,11
