Source_File,Puzzle_ID,Givens,InitProps,Time,Result,Backtracks
all_9x9.txt,1,22,493,1.2164,SAT,10
all_9x9.txt,2,23,524,1.3138,SAT,38
all_9x9.txt,3,22,524,1.3123,SAT,52
all_9x9.txt,4,23,501,1.2111,SAT,38
all_9x9.txt,5,23,563,1.1136,SAT,0
all_9x9.txt,6,23,508,1.5158,SAT,22
all_9x9.txt,7,24,525,1.3152,SAT,9
all_9x9.txt,8,23,524,1.2123,SAT,33
all_9x9.txt,9,24,549,1.1136,SAT,3
all_9x9.txt,10,24,513,1.6148,SAT,129
all_9x9.txt,11,23,497,1.3120,SAT,22
all_9x9.txt,12,22,521,1.6150,SAT,198
all_9x9.txt,13,25,528,1.2136,SAT,0
all_9x9.txt,14,24,524,1.3142,SAT,7
all_9x9.txt,15,25,518,1.7156,SAT,190
all_9x9.txt,16,24,508,1.2129,SAT,6
all_9x9.txt,17,22,502,1.4140,SAT,71
all_9x9.txt,18,25,506,1.5128,SAT,65
all_9x9.txt,19,25,524,1.6146,SAT,116
all_9x9.txt,20,24,527,1.1115,SAT,0
all_9x9.txt,21,22,482,1.4130,SAT,3
all_9x9.txt,22,25,518,1.1266,SAT,1
all_9x9.txt,23,24,532,1.4144,SAT,67
all_9x9.txt,24,25,555,1.3124,SAT,19
all_9x9.txt,25,23,535,1.6123,SAT,115
all_9x9.txt,26,23,523,1.5124,SAT,162
all_9x9.txt,27,22,508,1.3169,SAT,23
all_9x9.txt,28,25,530,1.4144,SAT,38
all_9x9.txt,29,24,549,1.2187,SAT,4
all_9x9.txt,30,26,544,1.4159,SAT,1
all_9x9.txt,31,23,514,1.3145,SAT,10
all_9x9.txt,32,23,514,1.2148,SAT,25
all_9x9.txt,33,26,527,1.2151,SAT,13
all_9x9.txt,34,22,493,1.3138,SAT,4
all_9x9.txt,35,23,512,1.3145,SAT,59
all_9x9.txt,36,25,514,1.5207,SAT,99
all_9x9.txt,37,22,495,1.4140,SAT,33
all_9x9.txt,38,23,508,1.5150,SAT,71
all_9x9.txt,39,24,504,1.8141,SAT,134
all_9x9.txt,40,24,528,1.7158,SAT,118
all_9x9.txt,41,24,527,1.3185,SAT,26
all_9x9.txt,42,24,522,1.2144,SAT,2
all_9x9.txt,43,23,520,1.6175,SAT,28
all_9x9.txt,44,24,515,1.7155,SAT,105
all_9x9.txt,45,23,532,1.6196,SAT,19
all_9x9.txt,46,22,538,1.4508,SAT,11
all_9x9.txt,47,24,516,1.5152,SAT,25
all_9x9.txt,48,24,526,1.4158,SAT,67
all_9x9.txt,49,22,513,1.2138,SAT,3
all_9x9.txt,50,23,532,1.3159,SAT,72
all_9x9.txt,51,23,520,1.3138,SAT,38
all_9x9.txt,52,24,526,1.2139,SAT,5
all_9x9.txt,53,24,545,1.3158,SAT,17
all_9x9.txt,54,22,515,1.4155,SAT,23
